,parfam,countryname,per503,pervote,electionDate,partyname,environWeighted
1973-01-01,40,Belgium,4.959000000000001,9.478,1971-11-01,Party of Liberty and Progress,47.00140200000001
1974-01-01,40,Belgium,3.241,9.595,1974-03-01,Party of Liberty and Progress,31.097395
1975-01-01,40,Belgium,3.241,9.595,1974-03-01,Party of Liberty and Progress,31.097395
1976-01-01,40,Belgium,3.241,9.595,1974-03-01,Party of Liberty and Progress,31.097395
1977-01-01,40,Belgium,0.626,8.538,1977-04-01,Party of Liberty and Progress,5.344787999999999
1978-01-01,40,Belgium,3.636,10.347,1978-12-01,Party of Liberty and Progress,37.621691999999996
1979-01-01,40,Belgium,3.636,10.347,1978-12-01,Party of Liberty and Progress,37.621691999999996
1980-01-01,40,Belgium,3.636,10.347,1978-12-01,Party of Liberty and Progress,37.621691999999996
1981-01-01,40,Belgium,1.01,12.895,1981-11-01,Party of Liberty and Progress,13.02395
1982-01-01,40,Belgium,1.01,12.895,1981-11-01,Party of Liberty and Progress,13.02395
1983-01-01,40,Belgium,1.01,12.895,1981-11-01,Party of Liberty and Progress,13.02395
1984-01-01,40,Belgium,1.01,12.895,1981-11-01,Party of Liberty and Progress,13.02395
1985-01-01,40,Belgium,0.419,10.748,1985-10-01,Party of Liberty and Progress,4.503412
1986-01-01,40,Belgium,0.419,10.748,1985-10-01,Party of Liberty and Progress,4.503412
1987-01-01,40,Belgium,0.0,11.547,1987-12-01,Party of Liberty and Progress,0.0
1988-01-01,40,Belgium,0.0,11.547,1987-12-01,Party of Liberty and Progress,0.0
1989-01-01,40,Belgium,0.0,11.547,1987-12-01,Party of Liberty and Progress,0.0
1990-01-01,40,Belgium,0.0,11.547,1987-12-01,Party of Liberty and Progress,0.0
1991-01-01,40,Belgium,1.596,11.977,1991-11-01,Party of Liberty and Progress,19.115292
1992-01-01,40,Belgium,1.596,11.977,1991-11-01,Party of Liberty and Progress,19.115292
1993-01-01,40,Belgium,1.596,11.977,1991-11-01,Party of Liberty and Progress,19.115292
1994-01-01,40,Belgium,1.596,11.977,1991-11-01,Party of Liberty and Progress,19.115292
1995-01-01,40,Belgium,2.885,13.148,1995-05-01,Flemish Liberals and Democrats,37.93198
1996-01-01,40,Belgium,2.885,13.148,1995-05-01,Flemish Liberals and Democrats,37.93198
1997-01-01,40,Belgium,2.885,13.148,1995-05-01,Flemish Liberals and Democrats,37.93198
1998-01-01,40,Belgium,2.885,13.148,1995-05-01,Flemish Liberals and Democrats,37.93198
1999-01-01,40,Belgium,4.351,14.304,1999-06-01,Flemish Liberals and Democrats,62.236704
2000-01-01,40,Belgium,4.351,14.304,1999-06-01,Flemish Liberals and Democrats,62.236704
2001-01-01,40,Belgium,4.351,14.304,1999-06-01,Flemish Liberals and Democrats,62.236704
2002-01-01,40,Belgium,4.351,14.304,1999-06-01,Flemish Liberals and Democrats,62.236704
2003-01-01,40,Belgium,1.493,15.356,2003-05-01,Flemish Liberals and Democrats,22.926508
2004-01-01,40,Belgium,1.493,15.356,2003-05-01,Flemish Liberals and Democrats,22.926508
2005-01-01,40,Belgium,1.493,15.356,2003-05-01,Flemish Liberals and Democrats,22.926508
2006-01-01,40,Belgium,1.493,15.356,2003-05-01,Flemish Liberals and Democrats,22.926508
2007-01-01,40,Belgium,9.462,11.83,2007-06-01,Open Flemish Liberals and Democrats,111.93546
2008-01-01,40,Belgium,9.462,11.83,2007-06-01,Open Flemish Liberals and Democrats,111.93546
2009-01-01,40,Belgium,9.462,11.83,2007-06-01,Open Flemish Liberals and Democrats,111.93546
2010-01-01,40,Belgium,5.926,8.639,2010-06-01,Open Flemish Liberals and Democrats,51.194714000000005
2011-01-01,40,Belgium,5.926,8.639,2010-06-01,Open Flemish Liberals and Democrats,51.194714000000005
2012-01-01,40,Belgium,5.926,8.639,2010-06-01,Open Flemish Liberals and Democrats,51.194714000000005
2013-01-01,40,Belgium,5.926,8.639,2010-06-01,Open Flemish Liberals and Democrats,51.194714000000005
2014-01-01,40,Belgium,8.641,9.631,2014-05-01,Open Flemish Liberals and Democrats,83.22147100000002
2015-01-01,40,Belgium,8.641,9.631,2014-05-01,Open Flemish Liberals and Democrats,83.22147100000002
2016-01-01,40,Belgium,8.641,9.631,2014-05-01,Open Flemish Liberals and Democrats,83.22147100000002
2017-01-01,40,Belgium,8.641,9.631,2014-05-01,Open Flemish Liberals and Democrats,83.22147100000002
2018-01-01,40,Belgium,8.641,9.631,2014-05-01,Open Flemish Liberals and Democrats,83.22147100000002
2019-01-01,40,Belgium,8.727,8.544,2019-05-01,Open Flemish Liberals and Democrats,74.563488
2020-01-01,40,Belgium,8.727,8.544,2019-05-01,Open Flemish Liberals and Democrats,74.563488
1971-01-01,40,Belgium,4.959000000000001,5.6629999999999985,1971-11-01,Party of Liberty and Progress,28.08281700000001
1971-01-01,40,Belgium,0.0,1.31,1971-11-01,Brussels Liberal Party,0.0
1974-01-01,40,Belgium,2.484,5.596,1974-03-01,Party of Liberty and Progress,13.900464000000001
1974-01-01,40,Belgium,2.439,1.27,1974-03-01,Liberal Democratic and Pluralist Party,3.09753
1977-01-01,40,Belgium,2.017,5.895,1977-04-01,Party of Walloon Reform and Liberty,11.890214999999998
1977-01-01,40,Belgium,3.67,1.131,1977-04-01,Liberal Party,4.15077
1978-01-01,40,Belgium,4.578,5.204,1978-12-01,Party of Walloon Reform and Liberty,23.823912
1978-01-01,40,Belgium,3.704,0.762,1978-12-01,Liberal Party,2.822448
1981-01-01,40,Belgium,0.22,8.568999999999999,1981-11-01,Liberal Reformation Party,1.8851800000000003
1985-01-01,40,Belgium,1.2919999999999998,10.214,1985-10-01,Liberal Reformation Party,13.196488
1987-01-01,40,Belgium,1.028,9.41,1987-12-01,Liberal Reformation Party,9.67348
1991-01-01,40,Belgium,0.762,8.141,1991-11-01,Liberal Reformation Party,6.203442
1995-01-01,40,Belgium,1.27,10.264,1995-05-01,Liberal Reformation Party - Francophone Democratic Front,13.035280000000002
1999-01-01,40,Belgium,1.935,10.14,1999-06-01,Liberal Reformation Party - Francophone Democratic Front - Citizens’ Movement for Change,19.6209
2003-01-01,40,Belgium,5.3889999999999985,11.396,2003-05-01,Reform Movement,61.41304399999999
2007-01-01,40,Belgium,4.518,12.517,2007-06-01,Reform Movement,56.551806000000006
2007-01-01,40,Belgium,2.806,4.027,2007-06-01,List Dedecker,11.299762
2010-01-01,40,Belgium,4.009,9.278,2010-06-01,Reform Movement,37.19550199999999
2010-01-01,40,Belgium,4.878,2.307,2010-06-01,List Dedecker,11.253546
1946-01-01,50,Belgium,8.1,42.538,1946-02-01,Francophone Christian Social Party and Flemish Christian People’s Party,344.5578000000001
1947-01-01,50,Belgium,8.1,42.538,1946-02-01,Francophone Christian Social Party and Flemish Christian People’s Party,344.5578000000001
1948-01-01,50,Belgium,8.1,42.538,1946-02-01,Francophone Christian Social Party and Flemish Christian People’s Party,344.5578000000001
1949-01-01,50,Belgium,3.9,43.549,1949-06-01,Francophone Christian Social Party and Flemish Christian People’s Party,169.84109999999995
1950-01-01,50,Belgium,3.8,47.678,1950-06-01,Francophone Christian Social Party and Flemish Christian People’s Party,181.1764
1951-01-01,50,Belgium,3.8,47.678,1950-06-01,Francophone Christian Social Party and Flemish Christian People’s Party,181.1764
1952-01-01,50,Belgium,3.8,47.678,1950-06-01,Francophone Christian Social Party and Flemish Christian People’s Party,181.1764
1953-01-01,50,Belgium,3.8,47.678,1950-06-01,Francophone Christian Social Party and Flemish Christian People’s Party,181.1764
1954-01-01,50,Belgium,3.2,41.147,1954-04-01,Francophone Christian Social Party and Flemish Christian People’s Party,131.6704
1955-01-01,50,Belgium,3.2,41.147,1954-04-01,Francophone Christian Social Party and Flemish Christian People’s Party,131.6704
1956-01-01,50,Belgium,3.2,41.147,1954-04-01,Francophone Christian Social Party and Flemish Christian People’s Party,131.6704
1957-01-01,50,Belgium,3.2,41.147,1954-04-01,Francophone Christian Social Party and Flemish Christian People’s Party,131.6704
1958-01-01,50,Belgium,14.286,46.499,1958-06-01,Francophone Christian Social Party and Flemish Christian People’s Party,664.2847139999999
1959-01-01,50,Belgium,14.286,46.499,1958-06-01,Francophone Christian Social Party and Flemish Christian People’s Party,664.2847139999999
1960-01-01,50,Belgium,14.286,46.499,1958-06-01,Francophone Christian Social Party and Flemish Christian People’s Party,664.2847139999999
1961-01-01,50,Belgium,1.587,41.456,1961-03-01,Francophone Christian Social Party and Flemish Christian People’s Party,65.790672
1962-01-01,50,Belgium,1.587,41.456,1961-03-01,Francophone Christian Social Party and Flemish Christian People’s Party,65.790672
1963-01-01,50,Belgium,1.587,41.456,1961-03-01,Francophone Christian Social Party and Flemish Christian People’s Party,65.790672
1964-01-01,50,Belgium,1.587,41.456,1961-03-01,Francophone Christian Social Party and Flemish Christian People’s Party,65.790672
1965-01-01,50,Belgium,5.385,34.451,1965-05-01,Francophone Christian Social Party and Flemish Christian People’s Party,185.51863500000002
1966-01-01,50,Belgium,5.385,34.451,1965-05-01,Francophone Christian Social Party and Flemish Christian People’s Party,185.51863500000002
1967-01-01,50,Belgium,5.385,34.451,1965-05-01,Francophone Christian Social Party and Flemish Christian People’s Party,185.51863500000002
1968-01-01,50,Belgium,0.956,20.033,1968-03-01,Christian People’s Party,19.151548
1969-01-01,50,Belgium,0.956,20.033,1968-03-01,Christian People’s Party,19.151548
1970-01-01,50,Belgium,0.956,20.033,1968-03-01,Christian People’s Party,19.151548
1971-01-01,50,Belgium,2.507,19.672,1971-11-01,Christian People’s Party,49.31770399999999
1972-01-01,50,Belgium,2.507,19.672,1971-11-01,Christian People’s Party,49.31770399999999
1973-01-01,50,Belgium,2.507,19.672,1971-11-01,Christian People’s Party,49.31770399999999
1974-01-01,50,Belgium,0.461,23.251,1974-03-01,Christian People’s Party,10.718711
1975-01-01,50,Belgium,0.461,23.251,1974-03-01,Christian People’s Party,10.718711
1976-01-01,50,Belgium,0.461,23.251,1974-03-01,Christian People’s Party,10.718711
1977-01-01,50,Belgium,0.967,26.192,1977-04-01,Christian People’s Party,25.327664000000002
1978-01-01,50,Belgium,4.723,26.134,1978-12-01,Christian People’s Party,123.43088200000001
1979-01-01,50,Belgium,4.723,26.134,1978-12-01,Christian People’s Party,123.43088200000001
1980-01-01,50,Belgium,4.723,26.134,1978-12-01,Christian People’s Party,123.43088200000001
1981-01-01,50,Belgium,1.973,19.339,1981-11-01,Christian People’s Party,38.15584700000001
1982-01-01,50,Belgium,1.973,19.339,1981-11-01,Christian People’s Party,38.15584700000001
1983-01-01,50,Belgium,1.973,19.339,1981-11-01,Christian People’s Party,38.15584700000001
1984-01-01,50,Belgium,1.973,19.339,1981-11-01,Christian People’s Party,38.15584700000001
1985-01-01,50,Belgium,2.055,21.293000000000006,1985-10-01,Christian People’s Party,43.75711500000001
1986-01-01,50,Belgium,2.055,21.293000000000006,1985-10-01,Christian People’s Party,43.75711500000001
1987-01-01,50,Belgium,4.372,19.454,1987-12-01,Christian People’s Party,85.052888
1988-01-01,50,Belgium,4.372,19.454,1987-12-01,Christian People’s Party,85.052888
1989-01-01,50,Belgium,4.372,19.454,1987-12-01,Christian People’s Party,85.052888
1990-01-01,50,Belgium,4.372,19.454,1987-12-01,Christian People’s Party,85.052888
1991-01-01,50,Belgium,2.995,16.815,1991-11-01,Christian People’s Party,50.36092500000001
1992-01-01,50,Belgium,2.995,16.815,1991-11-01,Christian People’s Party,50.36092500000001
1993-01-01,50,Belgium,2.995,16.815,1991-11-01,Christian People’s Party,50.36092500000001
1994-01-01,50,Belgium,2.995,16.815,1991-11-01,Christian People’s Party,50.36092500000001
1995-01-01,50,Belgium,1.829,17.176,1995-05-01,Christian People’s Party,31.414904
1996-01-01,50,Belgium,1.829,17.176,1995-05-01,Christian People’s Party,31.414904
1997-01-01,50,Belgium,1.829,17.176,1995-05-01,Christian People’s Party,31.414904
1998-01-01,50,Belgium,1.829,17.176,1995-05-01,Christian People’s Party,31.414904
1999-01-01,50,Belgium,2.525,14.088,1999-06-01,Christian Democratic and Flemish,35.57219999999999
2000-01-01,50,Belgium,2.525,14.088,1999-06-01,Christian Democratic and Flemish,35.57219999999999
2001-01-01,50,Belgium,2.525,14.088,1999-06-01,Christian Democratic and Flemish,35.57219999999999
2002-01-01,50,Belgium,2.525,14.088,1999-06-01,Christian Democratic and Flemish,35.57219999999999
2003-01-01,50,Belgium,3.738,13.249,2003-05-01,Christian Democratic and Flemish,49.524762
