year,parfam,countryname,per503,pervote,electionDate,partyname,environWeighted
2002-01-01,60,Sweden,7.329,15.255999999999998,September 2002,Moderate Coalition Party,111.81122399999998
2002-01-01,80,Sweden,3.802,6.193000000000001,September 2002,Centre Party,23.545786000000007
2006-01-01,10,Sweden,13.130999999999998,5.244,September 2006,Green Ecology Party,68.85896399999999
2006-01-01,20,Sweden,13.110999999999999,5.850000000000001,September 2006,Left Party,76.69935000000001
2006-01-01,30,Sweden,5.852,34.994,September 2006,Social Democratic Labour Party,204.78488800000002
2006-01-01,40,Sweden,5.785,7.537000000000001,September 2006,Liberal People’s Party,43.60154500000001
2006-01-01,50,Sweden,5.645,6.593,September 2006,Christian Democrats,37.217484999999996
2006-01-01,60,Sweden,3.73,26.23,September 2006,Moderate Coalition Party,97.8379
2006-01-01,80,Sweden,4.777,7.879,September 2006,Centre Party,37.637983
2010-01-01,10,Sweden,7.6339999999999995,7.34,September 2010,Green Ecology Party,56.033559999999994
2010-01-01,20,Sweden,16.535,5.600000000000001,September 2010,Left Party,92.59600000000002
2010-01-01,30,Sweden,14.184000000000001,30.66,September 2010,Social Democratic Labour Party,434.88144000000005
2010-01-01,40,Sweden,2.948,7.06,September 2010,Liberal People’s Party,20.81288
2010-01-01,50,Sweden,6.053999999999999,5.600000000000001,September 2010,Christian Democrats,33.90240000000001
2010-01-01,60,Sweden,6.3820000000000014,30.06,September 2010,Moderate Coalition Party,191.84292000000005
2010-01-01,70,Sweden,1.4709999999999999,5.7,September 2010,Sweden Democrats,8.384699999999999
2010-01-01,80,Sweden,5.402,6.56,September 2010,Centre Party,35.43712
2014-01-01,10,Sweden,7.042000000000001,6.888999999999999,September 2014,Green Ecology Party,48.512338
2014-01-01,20,Sweden,15.833,5.718,September 2014,Left Party,90.533094
2014-01-01,30,Sweden,6.446000000000001,31.015,September 2014,Social Democratic Labour Party,199.92269000000002
2014-01-01,40,Sweden,5.505,5.42,September 2014,Liberal People’s Party,29.8371
2014-01-01,50,Sweden,7.1979999999999995,4.57,September 2014,Christian Democrats,32.89486
2014-01-01,60,Sweden,4.523,23.325,September 2014,Moderate Coalition Party,105.49897499999999
2014-01-01,70,Sweden,3.7969999999999997,12.857000000000001,September 2014,Sweden Democrats,48.818029
2014-01-01,80,Sweden,2.6319999999999997,6.1129999999999995,September 2014,Centre Party,16.089415999999996
2018-01-01,10,Sweden,7.731,4.414,September 2018,Green Ecology Party,34.124634
2018-01-01,20,Sweden,20.122,8.005,September 2018,Left Party,161.07661000000002
2018-01-01,30,Sweden,6.129,28.261,September 2018,Social Democratic Labour Party,173.21166899999997
2018-01-01,40,Sweden,7.353,5.49,September 2018,Liberals,40.36797
2018-01-01,50,Sweden,0.0,6.322,September 2018,Christian Democrats,0.0
2018-01-01,60,Sweden,4.776,19.836,September 2018,Moderate Coalition Party,94.736736
2018-01-01,70,Sweden,4.196000000000001,17.534000000000002,September 2018,Sweden Democrats,73.57266400000002
2018-01-01,80,Sweden,8.026,8.608,September 2018,Centre Party,69.08780800000001
1945-01-01,20,Denmark,8.6,12.455,October 1945,Danish Communist Party,107.113
1945-01-01,30,Denmark,10.4,32.782,October 1945,Social Democratic Party,340.9328
1945-01-01,40,Denmark,7.8,8.152999999999999,October 1945,Danish Social-Liberal Party,63.59339999999999
1945-01-01,40,Denmark,1.6,23.383000000000003,October 1945,Liberals,37.412800000000004
1945-01-01,60,Denmark,0.8,18.236,October 1945,Conservative People’s Party,14.5888
1945-01-01,95,Denmark,3.4,1.8769999999999998,October 1945,Justice Party,6.381799999999999
1945-01-01,95,Denmark,2.206,3.111,October 1945,Danish Union,6.862866
1947-01-01,20,Denmark,12.3,6.77,October 1947,Danish Communist Party,83.271
1947-01-01,30,Denmark,6.5,40.021,October 1947,Social Democratic Party,260.1365
1947-01-01,40,Denmark,7.7,6.919,October 1947,Danish Social-Liberal Party,53.2763
1947-01-01,40,Denmark,1.6,27.584,October 1947,Liberals,44.1344
1947-01-01,60,Denmark,3.8,12.443,October 1947,Conservative People’s Party,47.28339999999999
1947-01-01,95,Denmark,0.8,4.538,October 1947,Justice Party,3.6304000000000003
1950-01-01,20,Denmark,3.6,4.601,September 1950,Danish Communist Party,16.5636
1950-01-01,30,Denmark,7.7,39.586,September 1950,Social Democratic Party,304.8122
1950-01-01,40,Denmark,0.0,8.176,September 1950,Danish Social-Liberal Party,0.0
1950-01-01,40,Denmark,2.5,21.33,September 1950,Liberals,53.324999999999996
1950-01-01,60,Denmark,4.8,17.779,September 1950,Conservative People’s Party,85.33919999999999
1950-01-01,95,Denmark,1.9,8.216,September 1950,Justice Party,15.610399999999998
1953-01-01,20,Denmark,5.3,4.7780000000000005,April 1953,Danish Communist Party,25.323400000000003
1953-01-01,30,Denmark,8.6,40.393,April 1953,Social Democratic Party,347.3798
1953-01-01,40,Denmark,0.0,8.641,April 1953,Danish Social-Liberal Party,0.0
1953-01-01,40,Denmark,2.9,22.063000000000002,April 1953,Liberals,63.98270000000001
1953-01-01,60,Denmark,0.9,17.312,April 1953,Conservative People’s Party,15.580800000000002
1953-01-01,95,Denmark,1.8,5.615,April 1953,Justice Party,10.107000000000001
1953-01-01,20,Denmark,0.0,4.331,September 1953,Danish Communist Party,0.0
1953-01-01,30,Denmark,6.8,41.309,September 1953,Social Democratic Party,280.90119999999996
1953-01-01,40,Denmark,9.9,7.815,September 1953,Danish Social-Liberal Party,77.36850000000001
1953-01-01,40,Denmark,2.1,23.064,September 1953,Liberals,48.434400000000004
1953-01-01,40,Denmark,0.0,2.7039999999999997,September 1953,Independents’ Party,0.0
1953-01-01,60,Denmark,4.600000000000001,16.846,September 1953,Conservative People’s Party,77.49160000000002
1953-01-01,95,Denmark,3.6,3.483,September 1953,Justice Party,12.5388
1957-01-01,20,Denmark,6.7,3.13,May 1957,Danish Communist Party,20.971
1957-01-01,30,Denmark,11.4,39.398,May 1957,Social Democratic Party,449.13720000000006
1957-01-01,40,Denmark,0.0,7.784,May 1957,Danish Social-Liberal Party,0.0
1957-01-01,40,Denmark,1.5,25.06,May 1957,Liberals,37.589999999999996
1957-01-01,40,Denmark,2.8369999999999997,2.2969999999999997,May 1957,Independents’ Party,6.516588999999999
1957-01-01,60,Denmark,0.0,16.615,May 1957,Conservative People’s Party,0.0
1957-01-01,95,Denmark,0.0,5.314,May 1957,Justice Party,0.0
1960-01-01,20,Denmark,9.8,1.122,November 1960,Danish Communist Party,10.995600000000001
1960-01-01,20,Denmark,4.0,6.145,November 1960,Socialist People’s Party,24.58
1960-01-01,30,Denmark,9.7,42.098,November 1960,Social Democratic Party,408.3506
1960-01-01,40,Denmark,3.0,5.797000000000001,November 1960,Danish Social-Liberal Party,17.391000000000002
1960-01-01,40,Denmark,3.5,21.055,November 1960,Liberals,73.6925
1960-01-01,40,Denmark,11.905,3.3360000000000003,November 1960,Independents’ Party,39.71508
1960-01-01,60,Denmark,5.5,17.918,November 1960,Conservative People’s Party,98.54899999999999
1960-01-01,95,Denmark,14.6,2.1519999999999997,November 1960,Justice Party,31.419199999999996
1964-01-01,20,Denmark,2.6,1.2309999999999999,September 1964,Danish Communist Party,3.2005999999999997
1964-01-01,20,Denmark,7.0,5.765,September 1964,Socialist People’s Party,40.355
1964-01-01,30,Denmark,4.3,41.942,September 1964,Social Democratic Party,180.3506
1964-01-01,40,Denmark,5.5,5.309,September 1964,Danish Social-Liberal Party,29.1995
1964-01-01,40,Denmark,4.4,20.816999999999997,September 1964,Liberals,91.59479999999999
1964-01-01,40,Denmark,4.688,2.499,September 1964,Independents’ Party,11.715311999999999
1964-01-01,60,Denmark,3.7,20.058,September 1964,Conservative People’s Party,74.2146
1964-01-01,95,Denmark,3.8,1.3019999999999998,September 1964,Justice Party,4.947599999999999
1966-01-01,20,Denmark,3.1,0.7709999999999999,November 1966,Danish Communist Party,2.3901
1966-01-01,20,Denmark,9.7,10.895999999999999,November 1966,Socialist People’s Party,105.69119999999998
1966-01-01,30,Denmark,6.600000000000001,38.257,November 1966,Social Democratic Party,252.49620000000004
1966-01-01,40,Denmark,5.8,7.296,November 1966,Danish Social-Liberal Party,42.3168
1966-01-01,40,Denmark,7.3,19.292,November 1966,Liberals,140.8316
1966-01-01,40,Denmark,0.0,1.61,November 1966,Independents’ Party,0.0
1966-01-01,40,Denmark,3.784,2.476,November 1966,Liberal Centre,9.369183999999999
1966-01-01,60,Denmark,0.0,18.684,November 1966,Conservative People’s Party,0.0
1966-01-01,95,Denmark,7.143,0.7120000000000001,November 1966,Justice Party,5.085816
1968-01-01,20,Denmark,16.1,2.003,January 1968,Left Socialist Party,32.24830000000001
1968-01-01,20,Denmark,0.0,1.041,January 1968,Danish Communist Party,0.0
1968-01-01,20,Denmark,4.600000000000001,6.115,January 1968,Socialist People’s Party,28.12900000000001
1968-01-01,30,Denmark,1.6,34.149,January 1968,Social Democratic Party,54.638400000000004
1968-01-01,40,Denmark,4.8,14.969000000000001,January 1968,Danish Social-Liberal Party,71.8512
1968-01-01,40,Denmark,4.7,18.572,January 1968,Liberals,87.2884
1968-01-01,40,Denmark,1.3159999999999998,0.503,January 1968,Independents’ Party,0.6619479999999999
1968-01-01,40,Denmark,2.326,1.31,January 1968,Liberal Centre,3.04706
1968-01-01,60,Denmark,4.3,20.355,January 1968,Conservative People’s Party,87.5265
1968-01-01,95,Denmark,1.3,0.74,January 1968,Justice Party,0.962
1971-01-01,20,Denmark,0.0,1.594,September 1971,Left Socialist Party,0.0
1971-01-01,20,Denmark,13.2,1.3719999999999999,September 1971,Danish Communist Party,18.1104
1971-01-01,20,Denmark,11.4,9.111,September 1971,Socialist People’s Party,103.86540000000001
1971-01-01,30,Denmark,19.0,37.268,September 1971,Social Democratic Party,708.092
1971-01-01,40,Denmark,2.7,14.342,September 1971,Danish Social-Liberal Party,38.723400000000005
1971-01-01,40,Denmark,1.4,15.635,September 1971,Liberals,21.889
1971-01-01,50,Denmark,2.0,1.979,September 1971,Christian People’s Party,3.958
1971-01-01,60,Denmark,0.0,16.69,September 1971,Conservative People’s Party,0.0
1971-01-01,95,Denmark,6.7,1.742,September 1971,Justice Party,11.6714
1973-01-01,20,Denmark,0.9,1.469,December 1973,Left Socialist Party,1.3221
1973-01-01,20,Denmark,2.3,3.6260000000000003,December 1973,Danish Communist Party,8.3398
1973-01-01,20,Denmark,11.5,6.011,December 1973,Socialist People’s Party,69.12650000000001
1973-01-01,30,Denmark,19.7,25.65,December 1973,Social Democratic Party,505.30499999999995
1973-01-01,60,Denmark,4.3,7.2,December 1973,Centre Democrats,30.96
1973-01-01,40,Denmark,8.0,11.238,December 1973,Danish Social-Liberal Party,89.904
1973-01-01,40,Denmark,1.5,12.259,December 1973,Liberals,18.3885
1973-01-01,50,Denmark,7.3,4.047,December 1973,Christian People’s Party,29.543099999999995
1973-01-01,60,Denmark,9.7,9.151,December 1973,Conservative People’s Party,88.76469999999999
1973-01-01,70,Denmark,2.5,15.894,December 1973,Progress Party,39.735
1973-01-01,95,Denmark,5.2,2.8789999999999996,December 1973,Justice Party,14.970799999999999
1975-01-01,20,Denmark,6.8,2.085,January 1975,Left Socialist Party,14.177999999999999
1975-01-01,20,Denmark,7.3,4.192,January 1975,Danish Communist Party,30.6016
1975-01-01,20,Denmark,10.8,4.95,January 1975,Socialist People’s Party,53.46000000000001
1975-01-01,30,Denmark,14.7,29.945,January 1975,Social Democratic Party,440.19149999999996
1975-01-01,60,Denmark,4.0,1.63,January 1975,Centre Democrats,6.52
1975-01-01,40,Denmark,0.0,7.101,January 1975,Danish Social-Liberal Party,0.0
1975-01-01,40,Denmark,1.5,23.325,January 1975,Liberals,34.9875
1975-01-01,50,Denmark,0.0,5.336,January 1975,Christian People’s Party,0.0
1975-01-01,60,Denmark,0.0,5.515,January 1975,Conservative People’s Party,0.0
1975-01-01,70,Denmark,0.8,13.583,January 1975,Progress Party,10.8664
1975-01-01,95,Denmark,2.4,1.774,January 1975,Justice Party,4.2576
1977-01-01,20,Denmark,2.2,2.693,February 1977,Left Socialist Party,5.924600000000001
1977-01-01,20,Denmark,5.4,3.6710000000000003,February 1977,Danish Communist Party,19.823400000000003
1977-01-01,20,Denmark,10.3,3.875,February 1977,Socialist People’s Party,39.9125
1977-01-01,30,Denmark,10.6,37.033,February 1977,Social Democratic Party,392.5498
1977-01-01,60,Denmark,2.3,5.86,February 1977,Centre Democrats,13.478
1977-01-01,40,Denmark,10.6,3.648,February 1977,Danish Social-Liberal Party,38.6688
1977-01-01,40,Denmark,6.100000000000001,11.967,February 1977,Liberals,72.99870000000001
1977-01-01,50,Denmark,5.3,3.415,February 1977,Christian People’s Party,18.0995
1977-01-01,60,Denmark,1.7,8.475,February 1977,Conservative People’s Party,14.407499999999999
1977-01-01,70,Denmark,2.4,14.609000000000002,February 1977,Progress Party,35.061600000000006
1977-01-01,95,Denmark,3.7,3.2880000000000003,February 1977,Justice Party,12.165600000000001
1979-01-01,20,Denmark,0.0,3.66,October 1979,Left Socialist Party,0.0
1979-01-01,20,Denmark,2.6,1.857,October 1979,Danish Communist Party,4.8282
1979-01-01,20,Denmark,17.8,5.906000000000001,October 1979,Socialist People’s Party,105.12680000000002
1979-01-01,30,Denmark,9.1,38.266999999999996,October 1979,Social Democratic Party,348.2296999999999
1979-01-01,60,Denmark,0.0,3.221,October 1979,Centre Democrats,0.0
1979-01-01,40,Denmark,11.4,5.436,October 1979,Danish Social-Liberal Party,61.9704
1979-01-01,40,Denmark,8.5,12.503,October 1979,Liberals,106.2755
1979-01-01,50,Denmark,9.2,2.59,October 1979,Christian People’s Party,23.827999999999996
1979-01-01,60,Denmark,0.0,12.477,October 1979,Conservative People’s Party,0.0
1979-01-01,70,Denmark,5.4,11.014000000000001,October 1979,Progress Party,59.47560000000001
1979-01-01,95,Denmark,14.9,2.625,October 1979,Justice Party,39.112500000000004
1981-01-01,20,Denmark,4.2,2.648,December 1981,Left Socialist Party,11.1216
1981-01-01,20,Denmark,0.0,1.109,December 1981,Danish Communist Party,0.0
1981-01-01,20,Denmark,9.1,11.312999999999999,December 1981,Socialist People’s Party,102.94829999999999
1981-01-01,30,Denmark,6.600000000000001,32.87,December 1981,Social Democratic Party,216.94200000000004
1981-01-01,60,Denmark,0.0,8.277000000000001,December 1981,Centre Democrats,0.0
1981-01-01,40,Denmark,3.8,5.124,December 1981,Danish Social-Liberal Party,19.471199999999996
1981-01-01,40,Denmark,3.7,11.31,December 1981,Liberals,41.847
1981-01-01,50,Denmark,3.7,2.311,December 1981,Christian People’s Party,8.5507
1981-01-01,60,Denmark,0.0,14.454,December 1981,Conservative People’s Party,0.0
1981-01-01,70,Denmark,0.0,8.912000000000003,December 1981,Progress Party,0.0
1981-01-01,95,Denmark,2.9,1.446,December 1981,Justice Party,4.1934
1984-01-01,20,Denmark,6.272,2.658,January 1984,Left Socialist Party,16.670976
1984-01-01,20,Denmark,14.953,0.687,January 1984,Danish Communist Party,10.272711000000001
1984-01-01,20,Denmark,14.972000000000001,11.515,January 1984,Socialist People’s Party,172.40258000000003
1984-01-01,30,Denmark,15.975999999999999,31.605,January 1984,Social Democratic Party,504.92148
1984-01-01,60,Denmark,2.454,4.5969999999999995,January 1984,Centre Democrats,11.281038
1984-01-01,40,Denmark,7.165,5.492000000000001,January 1984,Danish Social-Liberal Party,39.35018000000001
1984-01-01,40,Denmark,1.517,12.068,January 1984,Liberals,18.307156
1984-01-01,50,Denmark,1.399,2.725,January 1984,Christian People’s Party,3.812275
1984-01-01,60,Denmark,4.082,23.445,January 1984,Conservative People’s Party,95.70249
1984-01-01,70,Denmark,0.0,3.588,January 1984,Progress Party,0.0
1984-01-01,95,Denmark,2.083,1.499,January 1984,Justice Party,3.1224170000000004
1987-01-01,20,Denmark,1.942,2.16,September 1987,Common Course,4.19472
1987-01-01,20,Denmark,7.614,14.577,September 1987,Socialist People’s Party,110.989278
1987-01-01,30,Denmark,5.645,29.32,September 1987,Social Democratic Party,165.51139999999998
1987-01-01,60,Denmark,0.98,4.79,September 1987,Centre Democrats,4.6942
1987-01-01,40,Denmark,0.0,6.218,September 1987,Danish Social-Liberal Party,0.0
1987-01-01,40,Denmark,0.35200000000000004,10.536,September 1987,Liberals,3.7086720000000004
1987-01-01,50,Denmark,0.0,2.369,September 1987,Christian People’s Party,0.0
1987-01-01,60,Denmark,0.0,20.844,September 1987,Conservative People’s Party,0.0
1987-01-01,70,Denmark,0.0,4.772,September 1987,Progress Party,0.0
1988-01-01,20,Denmark,8.262,13.014000000000001,May 1988,Socialist People’s Party,107.52166800000002
1988-01-01,30,Denmark,5.8820000000000014,29.818,May 1988,Social Democratic Party,175.38947600000006
1988-01-01,60,Denmark,1.923,4.67,May 1988,Centre Democrats,8.980410000000001
1988-01-01,40,Denmark,9.239,5.577999999999999,May 1988,Danish Social-Liberal Party,51.535142
1988-01-01,40,Denmark,2.5,11.841,May 1988,Liberals,29.6025
1988-01-01,50,Denmark,15.126,2.044,May 1988,Christian People’s Party,30.917544
1988-01-01,60,Denmark,0.0,19.285999999999998,May 1988,Conservative People’s Party,0.0
1988-01-01,70,Denmark,0.0,8.955,May 1988,Progress Party,0.0
1990-01-01,20,Denmark,5.521,8.296,December 1990,Socialist People’s Party,45.802215999999994
1990-01-01,30,Denmark,3.2260000000000004,37.384,December 1990,Social Democratic Party,120.60078400000002
1990-01-01,60,Denmark,2.5,5.11,December 1990,Centre Democrats,12.775
1990-01-01,40,Denmark,5.357,3.5460000000000003,December 1990,Danish Social-Liberal Party,18.995922000000004
1990-01-01,40,Denmark,0.0,15.793,December 1990,Liberals,0.0
1990-01-01,50,Denmark,0.0,2.29,December 1990,Christian People’s Party,0.0
1990-01-01,60,Denmark,1.835,15.967,December 1990,Conservative People’s Party,29.299445
1990-01-01,70,Denmark,0.0,6.435,December 1990,Progress Party,0.0
1994-01-01,20,Denmark,2.667,3.1460000000000004,September 1994,Red-Green Unity List,8.390382
1994-01-01,20,Denmark,6.537000000000001,7.284,September 1994,Socialist People’s Party,47.615508000000005
1994-01-01,30,Denmark,2.3040000000000003,34.561,September 1994,Social Democratic Party,79.628544
1994-01-01,60,Denmark,0.0,2.84,September 1994,Centre Democrats,0.0
1994-01-01,40,Denmark,3.9219999999999997,4.5889999999999995,September 1994,Danish Social-Liberal Party,17.998057999999997
1994-01-01,40,Denmark,0.478,23.295,September 1994,Liberals,11.135010000000001
1994-01-01,50,Denmark,0.0,1.848,September 1994,Christian People’s Party,0.0
1994-01-01,60,Denmark,0.0,15.020999999999999,September 1994,Conservative People’s Party,0.0
1994-01-01,70,Denmark,0.31,6.433,September 1994,Progress Party,1.99423
1998-01-01,20,Denmark,10.255999999999998,2.7,March 1998,Red-Green Unity List,27.6912
1998-01-01,20,Denmark,3.7539999999999996,7.56,March 1998,Socialist People’s Party,28.380239999999993
