index,parfam,countryname,per503,pervote,electionDate,partyname,environWeighted,parfamName
1987-01-01,30,Netherlands,8.0,1.256,1986-05-01,Radical Political Party,10.048,SOC
1988-01-01,30,Netherlands,8.0,1.256,1986-05-01,Radical Political Party,10.048,SOC
1989-01-01,30,Netherlands,5.7,31.881,1989-09-01,Labour Party,181.7217,SOC
1990-01-01,30,Netherlands,5.7,31.881,1989-09-01,Labour Party,181.7217,SOC
1991-01-01,30,Netherlands,5.7,31.881,1989-09-01,Labour Party,181.7217,SOC
1992-01-01,30,Netherlands,5.7,31.881,1989-09-01,Labour Party,181.7217,SOC
1993-01-01,30,Netherlands,5.7,31.881,1989-09-01,Labour Party,181.7217,SOC
1994-01-01,30,Netherlands,3.117,23.97300000000001,1994-05-01,Labour Party,74.72384100000002,SOC
1995-01-01,30,Netherlands,3.117,23.97300000000001,1994-05-01,Labour Party,74.72384100000002,SOC
1996-01-01,30,Netherlands,3.117,23.97300000000001,1994-05-01,Labour Party,74.72384100000002,SOC
1997-01-01,30,Netherlands,3.117,23.97300000000001,1994-05-01,Labour Party,74.72384100000002,SOC
1998-01-01,30,Netherlands,6.847,28.98,1998-05-01,Labour Party,198.42606,SOC
1999-01-01,30,Netherlands,6.847,28.98,1998-05-01,Labour Party,198.42606,SOC
2000-01-01,30,Netherlands,6.847,28.98,1998-05-01,Labour Party,198.42606,SOC
2001-01-01,30,Netherlands,6.847,28.98,1998-05-01,Labour Party,198.42606,SOC
2002-01-01,30,Netherlands,2.735,15.11,2002-05-01,Labour Party,41.32585,SOC
2003-01-01,30,Netherlands,4.261,27.28,2003-01-01,Labour Party,116.24008,SOC
2004-01-01,30,Netherlands,4.261,27.28,2003-01-01,Labour Party,116.24008,SOC
2005-01-01,30,Netherlands,4.261,27.28,2003-01-01,Labour Party,116.24008,SOC
2006-01-01,30,Netherlands,7.055,21.193,2006-11-01,Labour Party,149.516615,SOC
2007-01-01,30,Netherlands,7.055,21.193,2006-11-01,Labour Party,149.516615,SOC
2008-01-01,30,Netherlands,7.055,21.193,2006-11-01,Labour Party,149.516615,SOC
2009-01-01,30,Netherlands,7.055,21.193,2006-11-01,Labour Party,149.516615,SOC
2010-01-01,30,Netherlands,11.652999999999999,19.63,2010-06-01,Labour Party,228.74839,SOC
2011-01-01,30,Netherlands,11.652999999999999,19.63,2010-06-01,Labour Party,228.74839,SOC
2012-01-01,30,Netherlands,8.187999999999999,24.838,2012-09-01,Labour Party,203.373544,SOC
2013-01-01,30,Netherlands,8.187999999999999,24.838,2012-09-01,Labour Party,203.373544,SOC
2014-01-01,30,Netherlands,8.187999999999999,24.838,2012-09-01,Labour Party,203.373544,SOC
2015-01-01,30,Netherlands,8.187999999999999,24.838,2012-09-01,Labour Party,203.373544,SOC
2016-01-01,30,Netherlands,8.187999999999999,24.838,2012-09-01,Labour Party,203.373544,SOC
2017-01-01,30,Netherlands,7.945,5.702999999999999,2017-03-01,Labour Party,45.310334999999995,SOC
2018-01-01,30,Netherlands,7.945,5.702999999999999,2017-03-01,Labour Party,45.310334999999995,SOC
2019-01-01,30,Netherlands,7.945,5.702999999999999,2017-03-01,Labour Party,45.310334999999995,SOC
2020-01-01,30,Netherlands,7.945,5.702999999999999,2017-03-01,Labour Party,45.310334999999995,SOC
1971-01-01,30,Netherlands,7.8,24.6,1971-04-01,Labour Party,191.88,SOC
1972-01-01,30,Netherlands,9.3,27.339000000000002,1972-11-01,Labour Party,254.25270000000003,SOC
1977-01-01,30,Netherlands,11.5,33.829,1977-05-01,Labour Party,389.0335,SOC
1981-01-01,30,Netherlands,7.100000000000001,28.288,1981-05-01,Labour Party,200.84480000000005,SOC
1982-01-01,30,Netherlands,13.2,30.395,1982-09-01,Labour Party,401.214,SOC
1986-01-01,30,Netherlands,6.9,33.271,1986-05-01,Labour Party,229.5699,SOC
2017-01-01,30,Netherlands,9.382,2.055,2017-03-01,DENK,19.28001,SOC
1946-01-01,40,Netherlands,9.7,6.412999999999999,1946-05-01,Freedom Party,62.20609999999999,LIB
1947-01-01,40,Netherlands,9.7,6.412999999999999,1946-05-01,Freedom Party,62.20609999999999,LIB
1948-01-01,40,Netherlands,16.0,7.945,1948-07-01,People’s Party for Freedom and Democracy,127.12,LIB
1949-01-01,40,Netherlands,16.0,7.945,1948-07-01,People’s Party for Freedom and Democracy,127.12,LIB
1950-01-01,40,Netherlands,16.0,7.945,1948-07-01,People’s Party for Freedom and Democracy,127.12,LIB
1951-01-01,40,Netherlands,16.0,7.945,1948-07-01,People’s Party for Freedom and Democracy,127.12,LIB
1952-01-01,40,Netherlands,9.6,8.827999999999998,1952-06-01,People’s Party for Freedom and Democracy,84.74879999999997,LIB
1953-01-01,40,Netherlands,9.6,8.827999999999998,1952-06-01,People’s Party for Freedom and Democracy,84.74879999999997,LIB
1954-01-01,40,Netherlands,9.6,8.827999999999998,1952-06-01,People’s Party for Freedom and Democracy,84.74879999999997,LIB
1955-01-01,40,Netherlands,9.6,8.827999999999998,1952-06-01,People’s Party for Freedom and Democracy,84.74879999999997,LIB
1956-01-01,40,Netherlands,3.8,8.774000000000001,1956-06-01,People’s Party for Freedom and Democracy,33.3412,LIB
1957-01-01,40,Netherlands,3.8,8.774000000000001,1956-06-01,People’s Party for Freedom and Democracy,33.3412,LIB
1958-01-01,40,Netherlands,3.8,8.774000000000001,1956-06-01,People’s Party for Freedom and Democracy,33.3412,LIB
1959-01-01,40,Netherlands,6.4,12.212,1959-03-01,People’s Party for Freedom and Democracy,78.1568,LIB
1960-01-01,40,Netherlands,6.4,12.212,1959-03-01,People’s Party for Freedom and Democracy,78.1568,LIB
1961-01-01,40,Netherlands,6.4,12.212,1959-03-01,People’s Party for Freedom and Democracy,78.1568,LIB
1962-01-01,40,Netherlands,6.4,12.212,1959-03-01,People’s Party for Freedom and Democracy,78.1568,LIB
1963-01-01,40,Netherlands,4.7,10.287,1963-05-01,People’s Party for Freedom and Democracy,48.34890000000001,LIB
1964-01-01,40,Netherlands,4.7,10.287,1963-05-01,People’s Party for Freedom and Democracy,48.34890000000001,LIB
1965-01-01,40,Netherlands,4.7,10.287,1963-05-01,People’s Party for Freedom and Democracy,48.34890000000001,LIB
1966-01-01,40,Netherlands,4.7,10.287,1963-05-01,People’s Party for Freedom and Democracy,48.34890000000001,LIB
1967-01-01,40,Netherlands,10.7,4.475000000000001,1967-02-01,Democrats‘66,47.88250000000002,LIB
1968-01-01,40,Netherlands,10.7,4.475000000000001,1967-02-01,Democrats‘66,47.88250000000002,LIB
1969-01-01,40,Netherlands,10.7,4.475000000000001,1967-02-01,Democrats‘66,47.88250000000002,LIB
1970-01-01,40,Netherlands,10.7,4.475000000000001,1967-02-01,Democrats‘66,47.88250000000002,LIB
1971-01-01,40,Netherlands,4.3,6.775,1971-04-01,Democrats‘66,29.1325,LIB
1972-01-01,40,Netherlands,9.3,4.1530000000000005,1972-11-01,Democrats‘66,38.62290000000001,LIB
1973-01-01,40,Netherlands,9.3,4.1530000000000005,1972-11-01,Democrats‘66,38.62290000000001,LIB
1974-01-01,40,Netherlands,9.3,4.1530000000000005,1972-11-01,Democrats‘66,38.62290000000001,LIB
1975-01-01,40,Netherlands,9.3,4.1530000000000005,1972-11-01,Democrats‘66,38.62290000000001,LIB
1976-01-01,40,Netherlands,9.3,4.1530000000000005,1972-11-01,Democrats‘66,38.62290000000001,LIB
1977-01-01,40,Netherlands,5.0,5.439,1977-05-01,Democrats‘66,27.195,LIB
1978-01-01,40,Netherlands,5.0,5.439,1977-05-01,Democrats‘66,27.195,LIB
1979-01-01,40,Netherlands,5.0,5.439,1977-05-01,Democrats‘66,27.195,LIB
1980-01-01,40,Netherlands,5.0,5.439,1977-05-01,Democrats‘66,27.195,LIB
1981-01-01,40,Netherlands,5.600000000000001,11.059000000000001,1981-05-01,Democrats‘66,61.93040000000002,LIB
1982-01-01,40,Netherlands,7.4,4.265,1982-09-01,Democrats‘66,31.561,LIB
1983-01-01,40,Netherlands,7.4,4.265,1982-09-01,Democrats‘66,31.561,LIB
1984-01-01,40,Netherlands,7.4,4.265,1982-09-01,Democrats‘66,31.561,LIB
1985-01-01,40,Netherlands,7.4,4.265,1982-09-01,Democrats‘66,31.561,LIB
1986-01-01,40,Netherlands,5.0,6.1320000000000014,1986-05-01,Democrats‘66,30.66000000000001,LIB
1987-01-01,40,Netherlands,5.0,6.1320000000000014,1986-05-01,Democrats‘66,30.66000000000001,LIB
1988-01-01,40,Netherlands,5.0,6.1320000000000014,1986-05-01,Democrats‘66,30.66000000000001,LIB
1989-01-01,40,Netherlands,4.0,7.8870000000000005,1989-09-01,Democrats‘66,31.548000000000002,LIB
1990-01-01,40,Netherlands,4.0,7.8870000000000005,1989-09-01,Democrats‘66,31.548000000000002,LIB
1991-01-01,40,Netherlands,4.0,7.8870000000000005,1989-09-01,Democrats‘66,31.548000000000002,LIB
1992-01-01,40,Netherlands,4.0,7.8870000000000005,1989-09-01,Democrats‘66,31.548000000000002,LIB
1993-01-01,40,Netherlands,4.0,7.8870000000000005,1989-09-01,Democrats‘66,31.548000000000002,LIB
1994-01-01,40,Netherlands,3.1919999999999997,15.49,1994-05-01,Democrats‘66,49.44408,LIB
1995-01-01,40,Netherlands,3.1919999999999997,15.49,1994-05-01,Democrats‘66,49.44408,LIB
1996-01-01,40,Netherlands,3.1919999999999997,15.49,1994-05-01,Democrats‘66,49.44408,LIB
1997-01-01,40,Netherlands,3.1919999999999997,15.49,1994-05-01,Democrats‘66,49.44408,LIB
1998-01-01,40,Netherlands,2.7030000000000003,8.99,1998-05-01,Democrats‘66,24.299970000000002,LIB
1999-01-01,40,Netherlands,2.7030000000000003,8.99,1998-05-01,Democrats‘66,24.299970000000002,LIB
2000-01-01,40,Netherlands,2.7030000000000003,8.99,1998-05-01,Democrats‘66,24.299970000000002,LIB
2001-01-01,40,Netherlands,2.7030000000000003,8.99,1998-05-01,Democrats‘66,24.299970000000002,LIB
2002-01-01,40,Netherlands,1.262,5.100000000000001,2002-05-01,Democrats‘66,6.436200000000002,LIB
2003-01-01,40,Netherlands,1.679,4.08,2003-01-01,Democrats‘66,6.85032,LIB
2004-01-01,40,Netherlands,1.679,4.08,2003-01-01,Democrats‘66,6.85032,LIB
2005-01-01,40,Netherlands,1.679,4.08,2003-01-01,Democrats‘66,6.85032,LIB
2006-01-01,40,Netherlands,4.31,1.964,2006-11-01,Democrats‘66,8.464839999999999,LIB
2007-01-01,40,Netherlands,4.31,1.964,2006-11-01,Democrats‘66,8.464839999999999,LIB
2008-01-01,40,Netherlands,4.31,1.964,2006-11-01,Democrats‘66,8.464839999999999,LIB
2009-01-01,40,Netherlands,4.31,1.964,2006-11-01,Democrats‘66,8.464839999999999,LIB
2010-01-01,40,Netherlands,5.553999999999999,6.943000000000001,2010-06-01,Democrats‘66,38.561422,LIB
2011-01-01,40,Netherlands,5.553999999999999,6.943000000000001,2010-06-01,Democrats‘66,38.561422,LIB
2012-01-01,40,Netherlands,2.229,8.033,2012-09-01,Democrats‘66,17.905556999999995,LIB
2013-01-01,40,Netherlands,2.229,8.033,2012-09-01,Democrats‘66,17.905556999999995,LIB
2014-01-01,40,Netherlands,2.229,8.033,2012-09-01,Democrats‘66,17.905556999999995,LIB
2015-01-01,40,Netherlands,2.229,8.033,2012-09-01,Democrats‘66,17.905556999999995,LIB
2016-01-01,40,Netherlands,2.229,8.033,2012-09-01,Democrats‘66,17.905556999999995,LIB
2017-01-01,40,Netherlands,6.276,12.227,2017-03-01,Democrats‘66,76.736652,LIB
2018-01-01,40,Netherlands,6.276,12.227,2017-03-01,Democrats‘66,76.736652,LIB
2019-01-01,40,Netherlands,6.276,12.227,2017-03-01,Democrats‘66,76.736652,LIB
2020-01-01,40,Netherlands,6.276,12.227,2017-03-01,Democrats‘66,76.736652,LIB
1967-01-01,40,Netherlands,2.9,10.732999999999999,1967-02-01,People’s Party for Freedom and Democracy,31.125699999999995,LIB
1971-01-01,40,Netherlands,3.8,10.341,1971-04-01,People’s Party for Freedom and Democracy,39.29579999999999,LIB
1972-01-01,40,Netherlands,1.6,14.449000000000002,1972-11-01,People’s Party for Freedom and Democracy,23.118400000000005,LIB
1977-01-01,40,Netherlands,2.7,17.945999999999994,1977-05-01,People’s Party for Freedom and Democracy,48.4542,LIB
1981-01-01,40,Netherlands,3.4,17.320999999999998,1981-05-01,People’s Party for Freedom and Democracy,58.89139999999999,LIB
1982-01-01,40,Netherlands,5.100000000000001,23.076999999999998,1982-09-01,People’s Party for Freedom and Democracy,117.69270000000004,LIB
1986-01-01,40,Netherlands,3.4,17.410999999999998,1986-05-01,People’s Party for Freedom and Democracy,59.19739999999999,LIB
1989-01-01,40,Netherlands,3.1,14.565999999999999,1989-09-01,People’s Party for Freedom and Democracy,45.1546,LIB
1994-01-01,40,Netherlands,0.9109999999999999,19.956,1994-05-01,People’s Party for Freedom and Democracy,18.179916,LIB
1998-01-01,40,Netherlands,1.4909999999999999,24.69,1998-05-01,People’s Party for Freedom and Democracy,36.81279,LIB
2002-01-01,40,Netherlands,1.3459999999999999,15.44,2002-05-01,People’s Party for Freedom and Democracy,20.782239999999998,LIB
