yearIndex,parfamName,partyname,culture,environ,equality,parfamCount,pervote,rile,staticRile,avgVote,countryname
2002,ECO,The Greens,3.358,8.029,14.599,1,9.47,-20.876,-13.65,9.47,Austria
2002,LEF,Austrian Communist Party,0.0,0.461,4.608000000000001,1,0.562,-26.267,-23.66,0.562,Austria
2002,NAT,Austrian Freedom Party,2.886,3.148,6.6720000000000015,1,10.01,-18.028,10.25,10.01,Austria
2002,SOC,Austrian Social Democratic Party,3.823,4.257,11.468,1,36.51,-21.199,-14.0,36.51,Austria
2006,CHR,Austrian People’s Party,5.582999999999998,5.582999999999998,9.854,1,34.33,-2.9610000000000003,6.13,34.33,Austria
2006,ECO,The Greens,6.926,8.947000000000003,11.977,1,11.05,-20.058,-13.65,11.05,Austria
2006,NAT,Alliance for the Future of Austria,0.8959999999999999,3.2260000000000004,5.556,1,4.11,-3.584,10.25,4.11,Austria
2006,NAT,Austrian Freedom Party,2.154,15.077,4.308,1,11.04,-4.308,10.25,11.04,Austria
2006,SOC,Austrian Social Democratic Party,4.438,4.022,14.424,1,35.34,-15.118,-14.0,35.34,Austria
2008,CHR,Austrian People’s Party,0.16399999999999998,0.4920000000000001,14.262,1,25.98,-1.148,6.13,25.98,Austria
2008,ECO,The Greens,2.439,12.195,18.364,1,10.43,-9.469,-13.65,10.43,Austria
2008,LEF,Austrian Communist Party,0.0,0.0,27.826,1,0.76,-17.391,-23.66,0.76,Austria
2008,NAT,Alliance for the Future of Austria,0.0,4.07,17.733,1,10.7,-8.721,10.25,10.7,Austria
2008,NAT,Austrian Freedom Party,3.03,4.329,10.823,1,17.54,-1.2990000000000002,10.25,17.54,Austria
2008,SOC,Austrian Social Democratic Party,5.985,4.1560000000000015,16.625,1,29.26,-17.872,-14.0,29.26,Austria
2013,CHR,Austrian People’s Party,4.3889999999999985,3.442,5.938,1,23.991,-5.507999999999999,6.13,23.991,Austria
2013,ECO,The Greens,2.462,9.265,11.311,1,12.416,-13.94,-13.65,12.416,Austria
2013,LIB,The New Austria,0.098,6.2620000000000005,6.36,1,4.964,-13.796,4.61,4.964,Austria
2013,NAT,Austrian Freedom Party,0.0,0.0,6.0870000000000015,1,20.506,12.174,10.25,20.506,Austria
2013,SIP,Team Stronach for Austria,4.854,3.479,5.178,1,5.725000000000001,0.971,3.36,5.725000000000001,Austria
2013,SOC,Austrian Social Democratic Party,6.759,1.655,12.276,1,26.819000000000006,-38.483,-14.0,26.819000000000006,Austria
2017,CHR,Austrian People’s Party,3.363,2.075,4.723,1,31.47,10.161,6.13,31.47,Austria
2017,ECO,Peter Pilz List,0.0,1.408,5.634,1,4.409,-7.042000000000002,-13.65,4.409,Austria
2017,ECO,The Greens,3.687,12.627,12.903,1,3.8,-22.212,-13.65,3.8,Austria
2017,LIB,The New Austria and Liberal Forum,0.0,0.0,12.698,1,5.296,-2.381,4.61,5.296,Austria
2017,NAT,Austrian Freedom Party,2.655,5.973,5.752000000000002,1,25.966,9.292,10.25,25.966,Austria
2017,SOC,Austrian Social Democratic Party,2.239,1.7990000000000002,12.812,1,26.859,-21.916,-14.0,26.859,Austria
2019,CHR,Austrian People’s Party,3.06,2.9210000000000003,5.563,1,37.457,2.086,6.13,37.457,Austria
2019,ECO,The Greens,3.513,11.814,9.135,1,13.9,-21.695,-13.65,13.9,Austria
2019,LIB,The New Austria and Liberal Forum,2.818,3.16,5.978,1,8.103,-10.077,4.61,8.103,Austria
2019,NAT,Austrian Freedom Party,0.0,10.811,2.252,1,16.174,2.7030000000000003,10.25,16.174,Austria
2019,SOC,Austrian Social Democratic Party,3.665,4.503,15.079,1,21.181,-39.424,-14.0,21.181,Austria
